dataset,seed,method,test_bacc,tree_depth,elapsed
breast,0,GATree-Random,0.9139492753623188,4,0.1834402084350586
breast,0,GATree-CART,0.9569746376811594,4,0.17465710639953613
breast,0,Distilled-Random,0.9673913043478262,3,1.5903348922729492
breast,0,Distilled-CART,0.9103260869565217,4,1.5013539791107178
breast,1,GATree-Random,0.8944746376811594,4,0.20894098281860352
breast,1,GATree-CART,0.9252717391304348,4,0.16464614868164062
breast,1,Distilled-Random,0.931159420289855,3,1.540558099746704
breast,1,Distilled-CART,0.9470108695652174,3,1.5032880306243896
breast,2,GATree-Random,0.9461050724637681,4,0.1485607624053955
breast,2,GATree-CART,0.947463768115942,4,0.16390776634216309
breast,2,Distilled-Random,0.9619565217391304,3,1.5054712295532227
breast,2,Distilled-CART,0.9415760869565217,3,1.5400278568267822
heart-statlog,0,GATree-Random,0.6625,4,0.13592123985290527
heart-statlog,0,GATree-CART,0.6583333333333333,4,0.15506505966186523
heart-statlog,0,Distilled-Random,0.8,3,1.304548978805542
heart-statlog,0,Distilled-CART,0.7333333333333334,3,1.3483738899230957
heart-statlog,1,GATree-Random,0.6833333333333333,4,0.14140963554382324
heart-statlog,1,GATree-CART,0.8041666666666667,4,0.15488886833190918
heart-statlog,1,Distilled-Random,0.65,4,1.3062090873718262
heart-statlog,1,Distilled-CART,0.8500000000000001,3,1.3254210948944092
heart-statlog,2,GATree-Random,0.7250000000000001,4,0.1387178897857666
heart-statlog,2,GATree-CART,0.6583333333333333,4,0.1564497947692871
heart-statlog,2,Distilled-Random,0.6208333333333333,4,1.325631856918335
heart-statlog,2,Distilled-CART,0.65,3,1.3462421894073486
diabetes,0,GATree-Random,0.6314814814814815,4,0.16521501541137695
diabetes,0,GATree-CART,0.7183333333333333,4,0.1855330467224121
diabetes,0,Distilled-Random,0.7246296296296296,3,1.490812063217163
diabetes,0,Distilled-CART,0.7631481481481481,3,1.5955958366394043
diabetes,1,GATree-Random,0.6031481481481481,4,0.1937239170074463
diabetes,1,GATree-CART,0.6777777777777778,4,0.1957998275756836
diabetes,1,Distilled-Random,0.6777777777777778,3,1.557811975479126
diabetes,1,Distilled-CART,0.632037037037037,4,1.549910068511963
diabetes,2,GATree-Random,0.6007407407407407,4,0.13919281959533691
diabetes,2,GATree-CART,0.6175925925925927,4,0.18935513496398926
diabetes,2,Distilled-Random,0.6098148148148148,3,1.5039799213409424
diabetes,2,Distilled-CART,0.6355555555555557,3,1.5033509731292725
