dataset,seed,method,test_bacc,tree_depth,elapsed
breast,0,GATree-Random,0.8894927536231885,4,0.17567205429077148
breast,0,GATree-CART,0.9411231884057971,4,0.16452980041503906
breast,0,Distilled-Random,0.9673913043478262,3,1.6671130657196045
breast,0,Distilled-CART,0.9361413043478262,3,1.5790748596191406
breast,1,GATree-Random,0.9202898550724637,4,0.18181800842285156
breast,1,GATree-CART,0.9361413043478262,4,0.16708803176879883
breast,1,Distilled-Random,0.9103260869565217,3,1.5471501350402832
breast,1,Distilled-CART,0.931159420289855,3,1.6115899085998535
breast,2,GATree-Random,0.8890398550724637,4,0.1537017822265625
breast,2,GATree-CART,0.926177536231884,3,0.16323089599609375
breast,2,Distilled-Random,0.9619565217391304,3,1.5996108055114746
breast,2,Distilled-CART,0.9365942028985508,3,1.5590510368347168
heart-statlog,0,GATree-Random,0.6625,4,0.13163495063781738
heart-statlog,0,GATree-CART,0.7,4,0.14073610305786133
heart-statlog,0,Distilled-Random,0.8,3,1.3296959400177002
heart-statlog,0,Distilled-CART,0.8416666666666667,3,1.3925230503082275
heart-statlog,1,GATree-Random,0.7833333333333333,4,0.1354067325592041
heart-statlog,1,GATree-CART,0.8708333333333333,4,0.13766002655029297
heart-statlog,1,Distilled-Random,0.65,3,1.3642213344573975
heart-statlog,1,Distilled-CART,0.8666666666666667,3,1.3453178405761719
heart-statlog,2,GATree-Random,0.7250000000000001,4,0.1339278221130371
heart-statlog,2,GATree-CART,0.7083333333333334,4,0.1386709213256836
heart-statlog,2,Distilled-Random,0.6833333333333333,3,1.3434157371520996
heart-statlog,2,Distilled-CART,0.6833333333333333,3,1.3592216968536377
diabetes,0,GATree-Random,0.615,4,0.15583181381225586
diabetes,0,GATree-CART,0.6427777777777778,4,0.16559886932373047
diabetes,0,Distilled-Random,0.7474074074074074,3,1.4989807605743408
diabetes,0,Distilled-CART,0.6362962962962964,3,1.5597171783447266
diabetes,1,GATree-Random,0.6103703703703703,4,0.18058013916015625
diabetes,1,GATree-CART,0.6351851851851852,4,0.1665358543395996
diabetes,1,Distilled-Random,0.6948148148148148,3,1.5399799346923828
diabetes,1,Distilled-CART,0.6627777777777778,3,1.5444378852844238
diabetes,2,GATree-Random,0.6190740740740741,4,0.16443490982055664
diabetes,2,GATree-CART,0.6835185185185185,4,0.18799519538879395
diabetes,2,Distilled-Random,0.6190740740740741,3,1.5974481105804443
diabetes,2,Distilled-CART,0.6666666666666667,3,1.5531129837036133
